iter	Passed	Remaining
552	1621	1311
553	1624	1308
554	1627	1304
555	1630	1301
556	1634	1299
557	1638	1297
558	1641	1294
559	1643	1291
560	1645	1287
561	1648	1284
562	1650	1281
563	1654	1278
564	1658	1277
565	1662	1274
566	1664	1271
567	1666	1267
568	1668	1263
569	1670	1260
570	1672	1256
571	1674	1252
572	1676	1249
573	1680	1247
574	1683	1244
575	1686	1241
576	1688	1237
577	1690	1233
578	1692	1230
579	1694	1227
580	1696	1223
581	1698	1219
582	1700	1216
583	1704	1213
584	1707	1211
585	1710	1208
586	1712	1204
587	1714	1201
588	1715	1197
589	1718	1194
590	1720	1190
591	1722	1187
592	1724	1183
593	1728	1181
594	1732	1179
595	1735	1176
596	1737	1172
597	1739	1169
598	1741	1165
599	1743	1162
600	1745	1158
601	1746	1154
602	1748	1151
603	1752	1148
604	1755	1146
605	1758	1143
606	1760	1139
607	1761	1135
608	1763	1132
609	1766	1129
610	1768	1126
611	1770	1122
612	1773	1119
613	1777	1117
614	1781	1115
615	1783	1111
616	1785	1108
617	1787	1104
618	1789	1101
619	1791	1097
620	1793	1094
621	1795	1090
622	1798	1088
623	1803	1086
624	1810	1086
625	1812	1082
626	1814	1079
627	1816	1075
628	1818	1072
629	1820	1069
630	1823	1066
631	1827	1064
632	1830	1061
633	1832	1057
634	1834	1054
635	1835	1050
636	1837	1047
637	1839	1043
638	1841	1040
639	1843	1036
640	1846	1034
641	1850	1031
642	1852	1028
643	1854	1025
644	1856	1021
645	1858	1018
646	1860	1014
647	1862	1011
648	1864	1008
649	1866	1005
650	1871	1003
651	1875	1000
652	1877	997
653	1879	994
654	1881	990
655	1882	987
656	1884	984
657	1886	980
658	1888	977
659	1890	973
660	1892	970
661	1897	968
662	1902	967
663	1904	963
664	1906	960
665	1908	957
666	1910	953
667	1912	950
668	1914	947
669	1916	944
670	1920	941
671	1922	938
672	1925	935
673	1927	932
674	1929	928
675	1931	925
676	1932	922
677	1934	918
678	1936	915
679	1938	912
680	1941	909
681	1944	906
682	1947	903
683	1949	900
684	1951	897
685	1952	893
686	1954	890
687	1956	887
688	1958	883
689	1960	880
690	1962	877
691	1968	876
692	1971	873
693	1972	869
694	1975	866
695	1976	863
696	1978	860
697	1980	856
698	1982	853
699	1984	850
700	1985	847
701	1989	844
702	1992	841
703	1995	839
704	1997	836
705	2000	832
706	2002	829
707	2004	826
708	2005	823
709	2007	820
710	2009	816
711	2012	814
712	2015	811
713	2019	808
714	2021	805
715	2023	802
716	2024	799
717	2026	795
718	2028	792
719	2030	789
720	2031	786
721	2034	783
722	2037	780
723	2042	778
724	2044	775
725	2046	772
726	2048	769
727	2050	766
728	2052	763
729	2054	759
730	2056	756
731	2058	753
732	2063	751
733	2066	749
734	2068	745
735	2070	742
736	2072	739
737	2074	736
738	2076	733
739	2078	730
740	2080	727
741	2082	723
742	2085	721
743	2089	719
744	2091	715
745	2093	712
746	2096	709
747	2098	706
748	2100	703
749	2102	700
750	2104	697
751	2105	694
752	2109	691
753	2113	689
754	2115	686
755	2117	683
756	2118	680
757	2120	677
758	2122	673
759	2124	670
760	2126	667
761	2128	664
762	2132	662
763	2136	659
764	2139	657
765	2141	654
766	2143	651
767	2145	647
768	2146	644
769	2148	641
770	2150	638
771	2152	635
772	2154	632
773	2158	630
774	2162	627
775	2164	624
776	2166	621
777	2168	618
778	2170	615
779	2172	612
780	2173	609
781	2175	606
782	2177	603
783	2180	600
784	2184	598
785	2186	595
786	2188	592
787	2190	589
788	2192	586
789	2194	583
790	2196	580
791	2199	577
792	2200	574
793	2204	571
794	2207	569
795	2210	566
796	2212	563
797	2214	560
798	2216	557
799	2218	554
800	2220	551
801	2222	548
802	2224	545
803	2227	542
804	2231	540
805	2233	537
806	2236	534
807	2237	531
808	2239	528
809	2241	525
810	2243	522
811	2245	519
812	2247	516
813	2249	513
814	2252	511
815	2257	509
816	2259	506
817	2261	503
818	2264	500
819	2266	497
820	2267	494
821	2269	491
822	2271	488
823	2274	485
824	2277	483
825	2281	480
826	2282	477
827	2284	474
828	2286	471
829	2289	469
830	2291	466
831	2294	463
832	2296	460
833	2300	457
834	2305	455
835	2307	452
836	2309	449
837	2310	446
838	2312	443
839	2314	440
840	2316	437
841	2318	435
842	2320	432
843	2323	429
844	2327	426
845	2330	424
846	2332	421
847	2334	418
848	2336	415
849	2338	412
850	2339	409
851	2341	406
852	2343	403
853	2346	401
854	2349	398
855	2352	395
856	2355	392
857	2357	390
858	2359	387
859	2361	384
860	2363	381
861	2365	378
862	2367	375
863	2370	373
864	2374	370
865	2376	367
866	2378	364
867	2380	362
868	2382	359
869	2384	356
870	2386	353
871	2388	350
872	2390	347
873	2394	345
874	2399	342
875	2401	339
876	2403	337
877	2405	334
878	2407	331
879	2409	328
880	2411	325
881	2413	322
882	2414	319
883	2417	317
884	2421	314
885	2424	312
886	2427	309
887	2429	306
888	2431	303
889	2432	300
890	2434	297
891	2436	295
892	2438	292
893	2441	289
894	2444	286
895	2447	284
896	2449	281
897	2451	278
898	2454	275
899	2456	272
900	2458	270
901	2460	267
902	2462	264
903	2466	261
904	2470	259
905	2472	256
906	2474	253
907	2476	250
908	2478	248
909	2480	245
910	2481	242
911	2483	239
912	2485	236
913	2488	234
914	2493	231
915	2496	228
916	2499	226
917	2501	223
918	2503	220
919	2505	217
920	2506	215
921	2508	212
922	2511	209
923	2514	206
924	2518	204
925	2520	201
926	2522	198
927	2524	195
928	2526	193
929	2528	190
930	2530	187
931	2532	184
932	2534	181
933	2537	179
934	2542	176
935	2544	173
936	2546	171
937	2548	168
938	2550	165
939	2553	162
940	2555	160
941	2557	157
942	2559	154
943	2564	152
944	2568	149
945	2570	146
946	2572	143
947	2574	141
948	2575	138
949	2577	135
950	2579	132
951	2581	130
952	2583	127
953	2586	124
954	2591	122
955	2593	119
956	2595	116
957	2598	113
958	2599	111
959	2601	108
960	2603	105
961	2605	102
962	2607	100
963	2610	97
964	2613	94
965	2616	92
966	2618	89
967	2620	86
968	2622	83
969	2624	81
970	2626	78
971	2627	75
972	2629	72
973	2632	70
974	2634	67
975	2638	64
976	2640	62
977	2642	59
978	2644	56
979	2646	54
980	2648	51
981	2650	48
982	2653	45
983	2655	43
984	2658	40
985	2662	37
986	2665	35
987	2666	32
988	2668	29
989	2670	26
990	2672	24
991	2674	21
992	2677	18
993	2679	16
994	2682	13
995	2686	10
996	2688	8
997	2691	5
998	2693	2
999	2695	0
